"id","class_id","class_date","start","end","allowed","minimum_students","cancel_class_before_due_to_min_student_hour","cancel_class_before_due_to_min_student_minute","repeat","session_timings","booking_start","booking_start_minute","booking_end","booking_end_minute","cancel_start","cancel_start_minute","cancel_end","cancel_end_minute","attendace_before_hour","attendace_before_minute","attendace_after_hour","attendace_after_minute","session_end_date","choose_period","week_days","month_days","status","updated_at","created_at"
"100","107","2023-06-01 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""2"":{""start"":[""17:30""],""end"":[""18:20""]},""4"":{""start"":[""17:30""],""end"":[""18:20""]}}","200","0","0","1","200","0","0","1","1","0","0","15","2023-12-31 00:00:00",NULL,"[""2"",""4""]",NULL,"a","2023-06-24 09:26:23","2023-06-24 09:26:23"
"101","108","2023-06-01 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""2"":{""start"":[""18:30""],""end"":[""19:25""]},""4"":{""start"":[""18:30""],""end"":[""19:25""]}}","200","0","0","1","200","0","0","1","1","0","0","15","2023-12-31 00:00:00",NULL,"[""2"",""4""]",NULL,"a","2023-06-24 09:28:43","2023-06-24 09:28:43"
"102","109","2023-06-01 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""6"":{""start"":[""10:30""],""end"":[""11:30""]}}","200","0","0","1","200","0","0","1","1","0","0","15","2023-12-31 00:00:00",NULL,"[""6""]",NULL,"a","2023-06-24 09:33:49","2023-06-24 09:33:49"
"103","110","2023-06-01 00:00:00",NULL,NULL,"40",NULL,NULL,NULL,"0","{""3"":{""start"":[""10:00"",""18:30""],""status"":[""1""],""end"":[""12:00"",""19:30""]}}","200","0","0","1","200","0","0","1","1","0","0","15","2023-12-31 00:00:00",NULL,"[""3""]",NULL,NULL,"2023-06-24 09:39:19","2023-06-24 09:38:03"
"104","111","2023-06-01 00:00:00",NULL,NULL,"20",NULL,NULL,NULL,"0","{""1"":{""start"":[""18:30""],""end"":[""19:30""]}}","200","0","0","1","200","0","0","1","1","0","0","15","2023-12-31 00:00:00",NULL,"[""1""]",NULL,"a","2023-06-24 09:41:04","2023-06-24 09:41:04"
"106","114","2023-08-20 00:00:00","16:00:00","20:30:00","50",NULL,NULL,NULL,"1",NULL,"0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL,"a","2023-07-24 17:47:50","2023-07-24 17:47:50"
"107","115","2023-08-19 00:00:00","14:00:00","20:00:00","60",NULL,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"a","2023-07-26 07:46:16","2023-07-26 07:46:16"
"108","116","2023-08-01 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""1"":{""start"":[""10:00""],""end"":[""12:00""]},""2"":{""start"":[""10:00""],""end"":[""12:00""]},""3"":{""start"":[""10:00""],""end"":[""12:00""]},""4"":{""start"":[""10:00""],""end"":[""12:00""]},""5"":{""start"":[""10:00""],""end"":[""12:00""]}}","160","0","0","15","160","0","0","15","1","0","0","5","2023-12-31 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5""]",NULL,"a","2023-08-16 20:22:40","2023-08-16 20:22:40"
"113","120","2023-08-01 00:00:00",NULL,NULL,"20","1","3","0","0","{""1"":{""start"":[""10:00"",""12:00""],""status"":[""1"",""1""],""end"":[""11:00"",""13:00""]},""3"":{""start"":[""10:00"",""12:00""],""status"":[""1"",""1""],""end"":[""11:00"",""13:00""]},""5"":{""start"":[""10:00"",""12:00""],""status"":[""1"",""1""],""end"":[""11:00"",""13:00""]}}","75","0","0","5","24","0","0","5","2","0","0","15","2023-12-31 00:00:00",NULL,"[""1"",""3"",""5""]",NULL,NULL,"2023-08-30 06:58:06","2023-08-22 19:35:32"
"114","120","2023-08-29 00:00:00","14:00:00","14:05:00","20","2","1","30","0","{""2"":{""start"":[""16:30"",""17:00"",""19:00""],""status"":[""1"",""1"",""1""],""end"":[""16:45"",""17:30"",""19:30""]}}","1",NULL,"1",NULL,"1",NULL,"0","0",NULL,NULL,NULL,NULL,"2024-01-01 00:00:00",NULL,"[""2""]",NULL,NULL,"2023-08-29 15:19:23","2023-08-29 10:48:17"
